00:00:00,7e0:01:0f,7e0:01:42,7e0:01:0d,7e0:01:10,7e0:01:0b,7e1:15:1e,7e0:01:0c,7e0:01:04
03 03 00 00,33,2f a5,00,00 00,62,,00 00,00
eb 06 00 00,33,2f a5,00,00 00,62,,00 00,00
d3 0a 00 00,33,2f a5,00,00 00,62,,00 00,00
bc 0e 00 00,33,2f a5,00,00 00,62,,00 00,00
a4 12 00 00,33,2f a5,00,00 00,62,,00 00,00
8c 16 00 00,33,2f a5,00,00 00,62,,00 00,00
74 1a 00 00,33,2f a5,00,00 00,62,,00 00,00
5c 1e 00 00,33,2f a5,00,00 00,62,,00 00,00
48 22 00 00,33,2f 91,00,00 00,62,,00 00,00
2c 26 00 00,33,2f a5,00,00 00,62,,00 00,00
14 2a 00 00,33,2f a5,00,00 00,62,,00 00,00
00 2e 00 00,33,2f a5,00,00 00,62,,00 00,00
e8 31 00 00,33,2f a5,00,00 00,62,,00 00,00
d0 35 00 00,33,2f a5,00,00 00,62,,00 00,00
b8 39 00 00,33,2f a5,00,00 00,62,,00 00,00
a0 3d 00 00,33,2f a5,00,00 00,62,,00 00,00
88 41 00 00,33,2f a5,00,00 00,62,,00 00,00
70 45 00 00,33,2f a5,00,00 00,62,,00 00,00
59 49 00 00,33,2f a5,00,00 00,62,,00 00,00
40 4d 00 00,33,2f a5,00,00 00,62,,00 00,00
28 51 00 00,33,2f a5,00,00 00,62,,00 00,00
10 55 00 00,33,2f a5,00,00 00,62,,00 00,00
f9 58 00 00,33,2f a5,00,00 00,62,,00 00,00
e0 5c 00 00,33,2f 7e,00,00 00,62,,00 00,00
c8 60 00 00,33,2d a9,00,00 00,62,,00 00,00
b0 64 00 00,33,2d 6e,00,00 00,62,,00 00,00
98 68 00 00,33,2d 6e,00,00 00,62,,00 00,00
80 6c 00 00,33,28 d9,00,00 37,61,,03 0c,3b
68 70 00 00,32,2d 5a,00,06 e0,60,,0e b0,79
50 74 00 00,32,34 12,00,05 a6,60,,0d 04,90
38 78 00 00,32,36 84,00,05 f4,60,,0d 60,8f
20 7c 00 00,32,36 e6,00,05 db,60,,0d 50,8f
08 80 00 00,32,36 98,00,05 bd,60,,0d 44,8a
f0 83 00 00,32,36 bf,00,05 b4,60,,0d 58,86
d8 87 00 00,32,36 98,00,05 ac,60,,0d 48,85
bf 8b 00 00,32,36 e6,00,05 96,60,,0d 4c,83
a7 8f 00 00,32,36 bf,00,05 61,61,,0d 44,83
8f 93 00 00,32,36 bf,00,05 77,61,,0d 54,81
78 97 00 00,32,36 e6,00,05 45,61,,0d 4c,80
60 9b 00 00,32,36 f9,00,05 48,61,,0d 4c,80
48 9f 00 00,32,36 e6,00,05 53,61,,0d 44,7f
30 a3 00 00,32,36 e6,00,05 53,61,,0d 3c,80
18 a7 00 00,32,37 20,00,05 40,61,,0d 38,7f
00 ab 00 00,32,37 34,00,05 03,61,,0d 14,7a
e7 ae 00 00,32,37 6f,00,04 6d,61,,0c 50,73
cf b2 00 00,32,37 6f,00,04 99,61,,0c 4c,74
b7 b6 00 00,32,37 82,00,04 86,61,,0c 5c,73
a0 ba 00 00,32,37 82,00,04 88,61,,0c 54,73
8d be 00 00,32,37 82,00,04 9f,61,,0c 54,72
7a c2 00 00,32,37 96,00,04 80,61,,0c 54,72
5c c6 00 00,32,37 a9,00,04 83,61,,0c 54,72
44 ca 00 00,32,37 6f,00,04 8b,61,,0c 54,71
2d ce 00 00,32,37 6f,00,04 67,61,,0c 40,73
15 d2 00 00,32,37 6f,00,04 af,61,,0b f0,a0
